Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,100,400,100,0.1,7,5,683,0.683
bullT,100,400,25,0.05,10,5,212,0.212
bullT,100,400,25,0.15,10,5,426,0.426
bullT,100,400,25,0.1,10,5,322,0.322
bullT,100,400,25,0.05,5,5,47,0.047
bullT,100,400,25,0.15,5,5,142,0.142
bullT,100,400,25,0.1,5,5,92,0.092
bullT,100,400,25,0.05,7,5,67,0.067
bullT,100,400,25,0.15,7,5,191,0.191
bullT,100,400,25,0.1,7,5,133,0.133
bullT,100,400,50,0.05,10,5,615,0.615
bullT,100,400,50,0.15,10,5,825,0.825
bullT,100,400,50,0.1,10,5,736,0.736
bullT,100,400,50,0.05,5,5,69,0.069
bullT,100,400,50,0.15,5,5,190,0.19
bullT,100,400,50,0.1,5,5,127,0.127
bullT,100,400,50,0.05,7,5,178,0.178
bullT,100,400,50,0.15,7,5,393,0.393
bullT,100,400,50,0.1,7,5,298,0.298
bullT,100,400,100,0.05,10,7,998,0.998
bullT,100,400,100,0.15,10,7,1000,1.0
bullT,100,400,100,0.1,10,7,1000,1.0
bullT,100,400,100,0.05,5,7,305,0.305
bullT,100,400,100,0.15,5,7,566,0.566
bullT,100,400,100,0.1,5,7,449,0.449
bullT,100,400,100,0.05,7,7,791,0.791
bullT,100,400,100,0.15,7,7,940,0.94
bullT,100,400,100,0.1,7,7,899,0.899
bullT,100,400,25,0.05,10,7,425,0.425
bullT,100,400,25,0.15,10,7,693,0.693
bullT,100,400,25,0.1,10,7,595,0.595
bullT,100,400,25,0.05,5,7,60,0.06
bullT,100,400,25,0.15,5,7,176,0.176
bullT,100,400,25,0.1,5,7,122,0.122
bullT,100,400,25,0.05,7,7,137,0.137
bullT,100,400,25,0.15,7,7,325,0.325
bullT,100,400,25,0.1,7,7,232,0.232
bullT,100,400,50,0.05,10,7,894,0.894
bullT,100,400,50,0.15,10,7,976,0.976
bullT,100,400,50,0.1,10,7,953,0.953
bullT,100,400,50,0.05,5,7,114,0.114
bullT,100,400,50,0.15,5,7,305,0.305
bullT,100,400,50,0.1,5,7,219,0.219
bullT,100,400,50,0.05,7,7,367,0.367
bullT,100,400,50,0.15,7,7,664,0.664
bullT,100,400,50,0.1,7,7,561,0.561
